Student ID,Name,Degree,Batch,Gmail Account
S00001,Cindy Sanders DVM,B.Tech,2022,rebecca57@gmail.com
S00002,Mark Browning,B.Tech,2022,samanthacontreras@gmail.com
S00003,Justin Mercado,B.Tech,2022,alexandria86@gmail.com
S00004,James Martinez,B.Tech,2022,robertking@gmail.com
S00005,Jordan Simmons,B.Tech,2022,peterbaldwin@gmail.com
S00006,Melissa Lee,B.Tech,2022,christopher53@gmail.com
S00007,Sandra Perez,B.Tech,2022,kennethwolfe@gmail.com
S00008,Rebecca Benson,B.Tech,2022,maryjackson@gmail.com
S00009,John Davis,B.Tech,2022,ashleystevenson@gmail.com
S00010,Donna Hall,B.Tech,2022,moralesnicholas@gmail.com
S00011,Amy Craig,B.Tech,2022,annettelopez@gmail.com
S00012,Mark Lee,B.Tech,2022,kevin62@gmail.com
S00013,Jonathan Sandoval,B.Tech,2022,bakerlaura@gmail.com
S00014,Alison Lewis,B.Tech,2022,xpadilla@gmail.com
S00015,Dawn Smith,B.Tech,2022,laravictoria@gmail.com
S00016,Andrew Harris,B.Tech,2022,floressteven@gmail.com
S00017,John Travis,B.Tech,2022,sproctor@gmail.com
S00018,Melissa Edwards,B.Tech,2022,henryrichard@gmail.com
S00019,Lori Lewis,B.Tech,2022,keyangela@gmail.com
S00020,Corey Bowman,B.Tech,2022,krodriguez@gmail.com
S00021,Stacy Bailey,B.Tech,2022,nathanjuarez@gmail.com
S00022,Miranda Harris,B.Tech,2022,cesar28@gmail.com
S00023,Timothy Ward,B.Tech,2022,smithdebra@gmail.com
S00024,Connie Kelley,B.Tech,2022,mooresamantha@gmail.com
S00025,Emily Edwards,B.Tech,2022,kadams@gmail.com
S00026,Jason Brown,B.Tech,2022,jessicasimmons@gmail.com
S00027,Jared Trevino,B.Tech,2022,christinefernandez@gmail.com
S00028,Amy Liu,B.Tech,2022,micheleburton@gmail.com
S00029,Brandi Gould,B.Tech,2022,jonathanyoung@gmail.com
S00030,Alyssa Kirk,B.Tech,2022,sandovalkimberly@gmail.com
S00031,Robert Yang,B.Tech,2022,garciajohnathan@gmail.com
S00032,David Anderson,B.Tech,2022,markdavis@gmail.com
S00033,Andrew Porter Jr.,B.Tech,2022,xgonzalez@gmail.com
S00034,Ryan Peck,B.Tech,2022,nicholasbrown@gmail.com
S00035,Cheryl Brandt,B.Tech,2022,allisonsmith@gmail.com
S00036,Brian Collins,B.Tech,2022,jwatkins@gmail.com
S00037,Sherry Roberts,B.Tech,2022,john37@gmail.com
S00038,James Carter,B.Tech,2022,coxtaylor@gmail.com
S00039,Darren Green,B.Tech,2022,danielle75@gmail.com
S00040,Paula Park,B.Tech,2022,smithmelissa@gmail.com
S00041,Adam Young,B.Tech,2022,lauraharper@gmail.com
S00042,Brandi Mathews,B.Tech,2022,tyler30@gmail.com
S00043,Christian Collins,B.Tech,2022,armstrongchristopher@gmail.com
S00044,Andrea Wilson,B.Tech,2022,brianna91@gmail.com
S00045,Bradley Silva,B.Tech,2022,mullenmelissa@gmail.com
S00046,Ariana Smith,B.Tech,2022,gbrock@gmail.com
S00047,Dennis Brooks,B.Tech,2022,harmonmatthew@gmail.com
S00048,David Jones,B.Tech,2022,bbowman@gmail.com
S00049,Joshua Walters,B.Tech,2022,lancedaniel@gmail.com
S00050,Timothy Mckinney,B.Tech,2022,jose74@gmail.com
S00051,Keith Peters,B.Tech,2022,uking@gmail.com
S00052,Jessica Berger,B.Tech,2022,nguyenbrandi@gmail.com
S00053,Elizabeth Cameron,B.Tech,2022,brittney25@gmail.com
S00054,Stephanie Gibson,B.Tech,2022,hancockchristopher@gmail.com
S00055,Amanda Leon,B.Tech,2022,linda27@gmail.com
S00056,Mary Smith,B.Tech,2022,higginscynthia@gmail.com
S00057,Sharon Patterson,B.Tech,2022,roydaniel@gmail.com
S00058,Maria Dickson,B.Tech,2022,etodd@gmail.com
S00059,Steven Kaufman,B.Tech,2022,zhoward@gmail.com
S00060,Brenda Davis,B.Tech,2022,chodges@gmail.com
S00061,Erin Leblanc,B.Tech,2022,mark57@gmail.com
S00062,Katherine Bradley,B.Tech,2022,jmarshall@gmail.com
S00063,Nancy Buck,B.Tech,2022,julie31@gmail.com
S00064,Matthew Stewart,B.Tech,2022,barrywhite@gmail.com
S00065,James Goodman,B.Tech,2022,linda82@gmail.com
S00066,Maria Taylor,B.Tech,2022,douglaskeith@gmail.com
S00067,Jessica Thompson,B.Tech,2022,melissa83@gmail.com
S00068,Nathan Dean,B.Tech,2022,terrencewalker@gmail.com
S00069,Chad Gray MD,B.Tech,2022,maryduncan@gmail.com
S00070,Christopher Calhoun,B.Tech,2022,mark64@gmail.com
S00071,Rebecca Little,B.Tech,2022,eboyd@gmail.com
